prompt_text,total_score,clarity_precision_score,clarity_precision_justification,structural_design_score,structural_design_justification,task_breakdown_scaffolding_score,task_breakdown_scaffolding_justification,boundaries_guardrails_score,boundaries_guardrails_justification,task_context_alignment_score,task_context_alignment_justification,strength_summary,weakness_summary,context_limitations,improvement_suggestions
do the thing,0,0,"The prompt 'do the thing' is vague and does not specify what 'the thing' is, leading to significant ambiguity.",0,"There is no logical organization or formatting in the prompt, and it does not guide the structure of the desired output.",0,"The prompt does not break down any tasks or provide any scaffolding for reasoning, leaving the model without guidance on how to approach the task.",0,"There are no clear instructions, delimiters, or constraints provided, making the prompt highly susceptible to misinterpretation.",0,"The prompt lacks context and detail necessary for any task, making it impossible to align with any specific task requirements.",There are no strengths in this prompt.,"The prompt is entirely vague, lacking clarity, structure, and context, which severely limits its effectiveness.","No context is provided, making it impossible to infer any intended task or goal.",Specify the task clearly and provide relevant context to guide the model's response.
help me,0,0,"The prompt 'help me' is vague and lacks specificity regarding the type of help needed, making it unclear what the task goal is.",0,"There is no logical organization or structure in the prompt, and it does not guide the model on how to format the response.",0,"The prompt does not break down any tasks or provide any steps for the model to follow, leaving the cognitive load entirely on the model without guidance.",0,"There are no clear boundaries or constraints in the prompt, which could lead to misinterpretation and unintended responses.",0,The prompt does not align with any specific task context or provide sufficient detail to guide the model's response.,There are no strengths in the prompt as it is too vague.,"The prompt is unclear, unstructured, lacks task breakdown, does not provide boundaries, and is not contextually aligned.",The prompt does not specify any context or details about the type of help required.,"Specify the type of help needed (e.g., information, advice, assistance with a task) to provide clarity. | Structure the prompt to guide the model on how to respond effectively. | Include any relevant context or details that would help the model understand the request."
Write a Python function to sort a list.,7,2,"The prompt clearly states the task of writing a Python function to sort a list, but it lacks details about the sorting criteria or constraints.",1,The prompt is straightforward but does not provide any guidance on the expected structure of the function or output format.,1,"The task is simple but could benefit from breaking down the requirements, such as specifying whether to handle edge cases or different data types.",1,"The prompt does not specify any boundaries or constraints regarding the implementation, which could lead to varied interpretations.",2,"The prompt is appropriate for a basic programming task, but it lacks context that could help tailor the response to specific needs or scenarios.",The prompt is clear about the task of writing a sorting function in Python.,"It lacks detail and structure, which could lead to ambiguity in implementation and output.","The prompt does not specify the sorting criteria or any constraints, which limits the context for the task.","Specify the sorting criteria (e.g., ascending or descending) and any constraints (e.g., handling duplicates or different data types). | Provide guidance on the expected structure of the function, such as input parameters and return values."
Explain recursion. Give examples.,5,1,The prompt is somewhat clear but lacks specificity regarding the depth of explanation required and the context in which recursion should be discussed.,1,"The prompt does not provide a clear structure for the response, such as whether to define recursion first or how to present examples.",1,The prompt does not break down the task into manageable steps or provide guidance on how to approach the explanation and examples.,1,"The prompt lacks clear boundaries regarding the scope of the explanation and examples, which may lead to overly broad or vague responses.",1,"The prompt is too general for the complexity of the topic, as it does not specify the audience's prior knowledge or the level of detail expected.","The prompt initiates a discussion about recursion and requests examples, which is a relevant starting point.","The prompt is vague and lacks clarity, structure, and guidance, which may lead to inconsistent and low-quality responses.","The prompt does not specify the intended audience or the context in which recursion should be explained, limiting its effectiveness.","Specify the target audience (e.g., beginners, advanced programmers) and the level of detail required in the explanation. | Provide a clearer structure, such as asking for a definition followed by specific examples. | Consider including constraints on the types of examples to be provided (e.g., programming languages, real-world applications)."
Summarize this article and tell me the main points.,4,1,"The prompt is somewhat clear but lacks specificity regarding which article to summarize, leading to ambiguity.",1,The prompt does not provide any structure or guidance on how to format the summary or what specific aspects to focus on.,0,The prompt does not break down the task into manageable steps or provide any scaffolding for complex reasoning.,1,"The prompt lacks clear boundaries or constraints, which could lead to misinterpretation of what constitutes 'main points.'",1,"The prompt does not align well with the complexity of summarizing an article, as it does not specify the article or the depth of summary required.",The prompt is straightforward in its request for a summary.,"It lacks specificity, structure, and guidance, which could lead to varied interpretations and outputs.","The prompt does not specify which article to summarize, which is critical for execution.",Specify the article to be summarized and provide guidance on the expected length and focus of the summary.
You are a helpful assistant. Answer the user's question about machine learning.,4,1,"The prompt indicates that the assistant should answer a user's question about machine learning, but it lacks specificity regarding the type of question or context needed for a high-quality response.",1,"The prompt is very basic and does not provide a clear structure or format for the expected response, which could lead to varied interpretations of how to answer.",0,"The prompt does not break down the task or provide any scaffolding for complex questions about machine learning, leaving the assistant without guidance on how to approach potentially complex inquiries.",1,"The prompt lacks clear boundaries or constraints, which could lead to responses that are too broad or off-topic. There are no guardrails to prevent misinterpretation.",1,"The prompt aligns with the task of answering questions about machine learning, but it does not provide enough context or detail to ensure that the responses will be relevant and focused.",The prompt establishes a clear task of answering questions about machine learning.,"The prompt is vague, lacks structure, and does not provide sufficient context or guidance for complex inquiries.","The prompt does not specify the user's level of knowledge or the specific area of machine learning, which could lead to misunderstandings.","Specify the type of question or topic within machine learning to provide clearer guidance. | Introduce a structure for the response, such as asking for definitions, examples, or explanations. | Consider including a request for clarification if the question is ambiguous."
"You are an expert evaluator. Given a user query, first identify the intent, then list required information, then produce a step-by-step response. Query: What is 2+2?",9,2,"The prompt clearly states the task of evaluating a user query and specifies the steps to follow, but it could be more precise in defining what 'required information' entails.",2,"The prompt has a logical structure with clear steps, but it lacks explicit formatting or separation of each step, which could enhance clarity.",2,"The task is broken down into manageable steps, but the prompt does not provide examples or guidance on how to identify intent or what constitutes 'required information.'",1,"While the prompt outlines a process, it does not clearly define boundaries for the response, such as length or focus, which could lead to varied interpretations.",2,"The prompt aligns with the task of evaluating a simple query, but it lacks context on the complexity of the query, which could affect the depth of the response.","The prompt is generally clear and provides a structured approach to evaluating a user query, breaking it down into steps.","It lacks precision in defining required information and does not set clear boundaries for the response, which may lead to ambiguity.","The prompt does not specify the type of queries it expects beyond the example, which could limit its applicability.",Define what 'required information' means in the context of the query. | Use explicit formatting to separate each step in the response process. | Set clear boundaries regarding the expected length and focus of the response.
Write a short Python function that takes a list of integers and returns the list sorted in ascending order. Use a clear function name and add a one-line docstring.,11,3,"The prompt clearly states the task goal, specifies the input type (list of integers), and the expected output (sorted list in ascending order). It minimizes ambiguity and constrains the response space appropriately.",2,"The prompt is logically organized and provides clear instructions. However, it could benefit from additional formatting or separation of instructions for clarity.",1,"The task is straightforward, but it does not break down any potential complexities, such as handling edge cases (e.g., empty lists) or performance considerations.",2,"The prompt provides clear instructions about the function name and the inclusion of a docstring, which helps guide the response. However, it lacks explicit boundaries regarding what should not be included.",3,"The prompt's level of detail and structure is appropriate for the task type, providing sufficient context for a simple programming task without unnecessary complexity.","The prompt excels in clarity and task-context alignment, providing a clear and concise directive for the desired output.",It lacks detailed breakdowns of potential complexities and could improve in structural design through better formatting.,"The prompt does not specify any edge cases or constraints on the input list, which could lead to varied interpretations.","Consider adding examples of input and output, and mention any edge cases to handle, such as empty lists or lists with duplicate values."
Review the following code for bugs. List each issue with the line number and a brief fix. Code: [paste here],8,2,"The prompt clearly states the task of reviewing code for bugs and specifies the expected output format (issues with line numbers and brief fixes). However, it could be more precise by specifying what constitutes a 'bug' and whether to include suggestions for improvements beyond just fixes.",2,"The prompt is logically organized, with a clear task followed by a directive to paste code. However, it lacks explicit formatting guidance for the output, which could enhance clarity.",1,The prompt does not break down the task into manageable steps or provide any intermediate reasoning guidance. It assumes the model can independently identify bugs without any additional context or criteria.,1,"The prompt does not define boundaries regarding what types of bugs to look for (syntax errors, logical errors, etc.), nor does it specify any constraints on the length or detail of the fixes, which could lead to varied interpretations.",2,"The prompt is generally aligned with the task of code review, but it lacks context about the programming language or specific coding standards that might be relevant, which could affect the quality of the response.","The prompt effectively communicates the main task and expected output format, making it relatively clear for the model to understand what is required.","The prompt lacks detailed guidance on what constitutes a bug, doesn't break down the task into steps, and lacks boundaries regarding the types of issues to address.","The prompt does not specify the programming language or any specific coding standards, which may lead to ambiguity in the evaluation.","Specify what types of bugs to look for (e.g., syntax errors, logical errors). | Provide guidance on the expected level of detail for fixes. | Consider breaking down the task into steps, such as identifying bugs first and then suggesting fixes."
"You are a code review assistant. Your task is to evaluate Python code for correctness and style.  Instructions: 1. Identify the intended behavior from any docstring or comments. 2. Check for logic errors, edge cases, and style issues (PEP 8). 3. Do not execute or assume runtime environment; only analyze the code as given. 4. Output your review in this exact format:    - Summary (1–2 sentences)    - Issues (bulleted list: severity, location, description)    - Suggestions (bulleted list)  Code to review: ```python def add(a, b): return a + b ```",14,3,"The prompt clearly states the task goal and provides specific instructions on how to evaluate the code, minimizing ambiguity.",3,The prompt is logically organized with clear instructions and an output format that separates different components of the review.,2,"The task is broken down into steps, but it could benefit from more explicit guidance on how to identify logic errors and edge cases.",3,"The prompt provides clear boundaries by instructing the model not to execute the code and to analyze it as given, which helps prevent misinterpretation.",3,"The level of detail and structure is appropriate for the task of code review, aligning well with the expected complexity.","The prompt is clear, well-structured, and provides appropriate boundaries for the task, facilitating effective code review.","While the task breakdown is functional, it could be improved with more detailed guidance on identifying specific types of errors.",,Provide examples of common logic errors and edge cases to enhance the task breakdown.
"You are a summarization agent. Given a text input between <text> and </text> tags, produce a summary in exactly 3 bullet points. Each bullet must be one sentence. Do not add opinions or information outside the source text. If the input is empty or not enclosed in tags, respond only with: ERROR: Invalid input.",14,3,"The prompt clearly states the task of summarization, specifies the format (3 bullet points, each one sentence), and provides clear constraints on content (no opinions or extraneous information).",3,"The prompt is logically organized with clear instructions and formatting requirements, including the use of tags for input and a specific response format.",2,"The prompt outlines the task but does not break down the summarization process into steps or provide guidance on how to identify key points, which could aid in cognitive processing.",3,"The prompt effectively separates valid input from invalid input and specifies a clear response for invalid cases, enhancing robustness.",3,"The level of detail and structure is appropriate for the task of summarization, ensuring that the model understands the requirements without unnecessary complexity.","The prompt excels in clarity, structural design, boundaries, and task-context alignment, providing a strong framework for generating summaries.",The prompt could improve by offering more cognitive scaffolding for the summarization process.,,Consider adding guidance on how to identify key points for summarization to enhance cognitive scaffolding.
"Task: Generate a JSON object with keys ""name"", ""age"", ""country"" from the following natural language description.  Constraints: - Output only valid JSON; no markdown, no explanation. - If the description omits a field, use null for that key. - Do not infer or invent values not stated.  Description: John is 30 years old and lives in Canada.",13,3,"The prompt clearly states the task goal, specifies the required keys, and minimizes ambiguity regarding the expected output format.",2,"The prompt is logically organized, but the separation between the task description and constraints could be clearer. A more structured format could enhance readability.",2,"The task is straightforward and does not require complex breakdown, but additional guidance on handling omitted fields could improve clarity.",3,"The constraints are clearly defined, effectively guiding the model to avoid unnecessary output and ensuring compliance with the JSON format.",3,"The level of detail and constraints are appropriate for the task, ensuring the model understands the requirements without overengineering.","The prompt is clear and well-structured, with strong constraints that guide the model effectively.",Minor improvements could be made in the structural design and task breakdown to enhance clarity and guidance.,,"Consider using bullet points or numbered lists to separate the task, constraints, and description for better readability."
